Model,Make,YOM,Used,Transmission,Mileage,Location,Price,Age,Fuel_Type
X-Trail,Nissan,2014,Foreign Used,Automatic,136000,Nairobi,2050000,10,Petrol
Teana,Nissan,2014,Foreign Used,Automatic,85000,Nairobi,1380000,10,Petrol
Teana,Nissan,2013,Foreign Used,Automatic,90231,Nairobi,995000,11,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,52000,Nairobi,2500000,10,Petrol
Note,Nissan,2015,Foreign Used,Automatic,62863,Mombasa,1050000,9,Petrol
Note,Nissan,2014,Foreign Used,Automatic,66000,Mombasa,780000,10,Petrol
March,Nissan,2014,Foreign Used,Automatic,75000,Nairobi,655000,10,Petrol
Fuga,Nissan,2014,Foreign Used,Automatic,66000,Mombasa,1700000,10,Petrol
Lafesta,Nissan,2013,Foreign Used,Automatic,52000,Mombasa,840000,11,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,165000,Mombasa,1850000,10,Petrol
Fuga,Nissan,2014,Foreign Used,Automatic,39000,Nairobi,2000000,10,Petrol
Sylphy,Nissan,2013,Foreign Used,Automatic,62111,Nairobi,1200000,11,Petrol
Juke,Nissan,2015,Foreign Used,Automatic,99542,Mombasa,1380000,9,Petrol
Teana,Nissan,2014,Foreign Used,Automatic,112758,Nairobi,1380000,10,Petrol
Teana,Nissan,2014,Foreign Used,Automatic,81960,Mombasa,1400000,10,Petrol
Teana,Nissan,2014,Foreign Used,Automatic,112758,Nairobi,1380000,10,Petrol
Latio,Nissan,2014,Foreign Used,Automatic,63000,Nairobi,830000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,119000,Nairobi,880000,10,Petrol
Latio,Nissan,2014,Foreign Used,Automatic,63000,Nairobi,830000,10,Petrol
Fuga,Nissan,2015,Foreign Used,Automatic,82688,Mombasa,1700000,9,Petrol
Note,Nissan,2015,Foreign Used,Automatic,58855,Mombasa,790000,9,Petrol
Note,Nissan,2014,Foreign Used,Automatic,63,Mombasa,770000,10,Petrol
